,helicopter_psi,helicopter_theta
653,1.7208,-0.34071
654,1.7224,-0.34233
655,1.7297,-0.34638
656,1.7095,-0.33788
657,1.716,-0.33828
658,1.7224,-0.34193
659,1.7152,-0.3399
660,1.7322,-0.34517
661,1.7192,-0.3399
662,1.7322,-0.34557
663,1.7297,-0.34436
664,1.7087,-0.33383
665,1.7087,-0.33383
666,1.7305,-0.34598
667,1.7208,-0.34112
668,1.7168,-0.34071
669,1.7224,-0.34193
670,1.7273,-0.34274
671,1.7063,-0.33707
672,1.7095,-0.33383
673,1.7087,-0.33383
674,1.7063,-0.34152
675,1.7224,-0.3484
676,1.7095,-0.34395
677,1.7119,-0.34476
678,1.7289,-0.35245
679,1.7208,-0.34719
680,1.7143,-0.34598
681,1.7224,-0.34881
682,1.716,-0.34598
683,1.7224,-0.348
684,1.7322,-0.35164
685,1.7224,-0.34759
686,1.7257,-0.34920999999999996
687,1.7054,-0.34314
688,1.7176,-0.35124
689,1.7127,-0.3484
690,1.7143,-0.35205
691,1.7176,-0.35083000000000003
692,1.7176,-0.35083000000000003
693,1.7014,-0.348
694,1.7103,-0.35043
695,1.7273,-0.35812
696,1.7152,-0.34881
697,1.7168,-0.34881
698,1.7184,-0.35164
699,1.7273,-0.35771
700,1.7369999999999999,-0.36095
701,1.7241,-0.35367
702,1.7208,-0.3561
703,1.716,-0.35488000000000003
704,1.7314,-0.35893
705,1.7265,-0.35812
706,1.7281,-0.35852
707,1.7152,-0.36014
708,1.7289,-0.365
709,1.7369999999999999,-0.36783000000000005
710,1.7369999999999999,-0.36783000000000005
711,1.7378,-0.36743000000000003
712,1.7435,-0.36945
713,1.7241,-0.36014
714,1.7386,-0.36743000000000003
715,1.7354,-0.36622
716,1.7305,-0.36985999999999997
717,1.7216,-0.36824
718,1.7419,-0.37593000000000004
719,1.7378,-0.37431
720,1.7281,-0.36783000000000005
721,1.7208,-0.3646
722,1.7419,-0.38119000000000003
723,1.7378,-0.37917
724,1.7152,-0.37188000000000004
725,1.7233,-0.37593000000000004
726,1.7233,-0.37553000000000003
727,1.716,-0.37390999999999996
728,1.716,-0.37390999999999996
729,1.7249,-0.37755
730,1.7265,-0.38240999999999997
731,1.7427,-0.38848
732,1.7297,-0.38361999999999996
733,1.7192,-0.38038
734,1.7443,-0.38806999999999997
735,1.7249,-0.38038
736,1.7338,-0.38969000000000004
737,1.7143,-0.38484
738,1.733,-0.3905
739,1.7281,-0.38565
740,1.7419,-0.39455
741,1.7176,-0.38403000000000004
742,1.7419,-0.40062
743,1.7435,-0.40021999999999996
744,1.7305,-0.39374000000000003
745,1.7378,-0.39779000000000003
746,1.7394,-0.40021999999999996
747,1.7257,-0.39616999999999997
748,1.7289,-0.3986
749,1.7443,-0.40589000000000003
750,1.7435,-0.40629
751,1.716,-0.39819
752,1.7443,-0.41073999999999994
753,1.7192,-0.40467
754,1.7281,-0.4071
755,1.7281,-0.4071
756,1.7143,-0.40305
757,1.7184,-0.40467
758,1.7427,-0.41641000000000006
759,1.7322,-0.41478999999999994
760,1.7224,-0.40791
761,1.7305,-0.41155
762,1.7192,-0.40791
763,1.7281,-0.41762
764,1.7411,-0.42451000000000005
765,1.7362,-0.42086
766,1.7249,-0.41843
767,1.7273,-0.41923999999999995
768,1.7273,-0.41923999999999995
769,1.7241,-0.43058
770,1.716,-0.42855
771,1.7273,-0.43178999999999995
772,1.7305,-0.4322
773,1.7305,-0.4322
774,1.7265,-0.43178999999999995
775,1.7411,-0.43908
776,1.7346,-0.43867
777,1.7369999999999999,-0.44028999999999996
778,1.7369999999999999,-0.43988999999999995
779,1.7241,-0.43665
780,1.7265,-0.43301000000000006
781,1.7289,-0.44232
782,1.7362,-0.44475
783,1.7208,-0.43908
784,1.72,-0.44191
785,1.7403,-0.44718
786,1.7257,-0.44353000000000004
787,1.7176,-0.44596
788,1.7224,-0.44475
789,1.7354,-0.45163000000000003
790,1.7249,-0.4496
791,1.7249,-0.4496
792,1.7176,-0.44556
793,1.7216,-0.44798000000000004
794,1.7192,-0.44515
795,1.7314,-0.45406
796,1.7378,-0.4577
797,1.7338,-0.45608000000000004
798,1.7224,-0.45121999999999995
799,1.7314,-0.45487
800,1.7378,-0.46458
801,1.7394,-0.46498999999999996
802,1.7192,-0.45971999999999996
803,1.7354,-0.46376999999999996
804,1.716,-0.45932
805,1.7305,-0.45971999999999996
806,1.733,-0.46538999999999997
807,1.7208,-0.46337
808,1.7394,-0.46498999999999996
809,1.7435,-0.46943999999999997
810,1.7346,-0.46701000000000004
811,1.7556,-0.47186999999999996
812,1.7273,-0.46458
813,1.7556,-0.47268000000000004
814,1.75,-0.47591999999999995
815,1.733,-0.46984
816,1.7548,-0.47753999999999996
817,1.7369999999999999,-0.47996000000000005
818,1.7369999999999999,-0.47996000000000005
819,1.7516,-0.4828
820,1.7475,-0.48158
821,1.7354,-0.47713
822,1.7556,-0.48077
823,1.7443,-0.47875
824,1.7589,-0.47996000000000005
825,1.7564,-0.48158
826,1.7459,-0.48239
827,1.7556,-0.48725
828,1.7419,-0.48482
829,1.7403,-0.48401000000000005
830,1.7597,-0.48685
831,1.7654,-0.48968
832,1.7605,-0.48603999999999997
833,1.7734,-0.48644
834,1.7605,-0.49008
835,1.7637,-0.48685
836,1.7637,-0.48685
837,1.7637,-0.48725
838,1.7654,-0.48765
839,1.7621,-0.4917
840,1.7791,-0.49656000000000006
841,1.7686,-0.49049
842,1.7807,-0.49656000000000006
843,1.7921,-0.5022300000000001
844,1.7872,-0.5002
845,1.7848,-0.49899
846,1.7783,-0.49373
847,1.7702,-0.49413
848,1.7629,-0.49575
849,1.7913,-0.5018199999999999
850,1.7791,-0.49494
851,1.801,-0.5050600000000001
852,1.801,-0.50668
853,1.8026,-0.5083
854,1.8026,-0.5083
855,1.801,-0.50789
856,1.7799,-0.5030399999999999
