,electricity-fueltype-nyiso-other_renewables,electricity-fueltype-nyiso-nuclear,electricity-fueltype-nyiso-wind,electricity-fueltype-nyiso-hydro,electricity-fueltype-nyiso-natural_gas,electricity-fueltype-nyiso-dual_fuel
397,262.0,4397.0,806.0,3690.0,3486.0,4012.0
398,262.0,4397.0,806.0,3690.0,3486.0,4012.0
399,266.0,4399.0,835.0,3682.0,3509.0,4160.0
400,267.0,4400.0,839.0,3719.0,3484.0,4281.0
401,265.0,4398.0,846.0,3692.0,3475.0,4271.0
402,265.0,4398.0,846.0,3692.0,3475.0,4271.0
403,264.0,4398.0,850.0,3658.0,3465.0,4302.0
404,261.0,4399.0,860.0,3695.0,3479.0,4290.0
405,266.0,4399.0,832.0,3637.0,3407.0,4283.0
406,270.0,4400.0,793.0,3673.0,3390.0,4243.0
407,267.0,4397.0,764.0,3680.0,3383.0,4230.0
408,268.0,4399.0,738.0,3704.0,3398.0,4222.0
409,270.0,4399.0,716.0,3729.0,3425.0,4144.0
410,267.0,4400.0,721.0,3710.0,3447.0,4116.0
411,261.0,4399.0,735.0,3773.0,3483.0,4173.0
412,258.0,4398.0,767.0,3814.0,3539.0,4145.0
413,258.0,4398.0,767.0,3814.0,3539.0,4145.0
414,259.0,4397.0,797.0,3873.0,3575.0,4139.0
415,254.0,4398.0,814.0,3716.0,3565.0,4189.0
416,249.0,4398.0,808.0,3714.0,3525.0,4192.0
417,254.0,4398.0,792.0,3704.0,3461.0,4172.0
418,253.0,4399.0,781.0,3694.0,3433.0,4159.0
419,257.0,4398.0,768.0,3729.0,3449.0,4108.0
420,257.0,4398.0,768.0,3729.0,3449.0,4108.0
421,260.0,4398.0,748.0,3733.0,3443.0,4070.0
422,257.0,4397.0,706.0,3716.0,3357.0,4045.0
423,258.0,4398.0,698.0,3656.0,3335.0,3901.0
424,262.0,4398.0,713.0,3579.0,3320.0,3804.0
425,262.0,4398.0,713.0,3579.0,3320.0,3804.0
426,260.0,4397.0,713.0,3553.0,3218.0,3731.0
427,259.0,4397.0,719.0,3580.0,3153.0,3676.0
428,260.0,4396.0,727.0,3573.0,3137.0,3640.0
429,260.0,4396.0,727.0,3573.0,3137.0,3640.0
430,260.0,4398.0,705.0,3547.0,3110.0,3640.0
431,258.0,4397.0,695.0,3566.0,3083.0,3625.0
432,258.0,4397.0,695.0,3566.0,3083.0,3625.0
433,253.0,4397.0,696.0,3611.0,3040.0,3614.0
434,253.0,4398.0,685.0,3589.0,2978.0,3596.0
435,253.0,4398.0,685.0,3589.0,2978.0,3596.0
436,251.0,4399.0,652.0,3628.0,2883.0,3555.0
437,255.0,4398.0,645.0,3609.0,2831.0,3498.0
438,259.0,4396.0,656.0,3610.0,2845.0,3515.0
439,259.0,4396.0,656.0,3610.0,2845.0,3515.0
440,261.0,4397.0,667.0,3593.0,2828.0,3518.0
441,260.0,4399.0,704.0,3581.0,2780.0,3427.0
442,262.0,4398.0,711.0,3556.0,2737.0,3419.0
443,262.0,4398.0,711.0,3556.0,2737.0,3419.0
444,261.0,4397.0,696.0,3551.0,2644.0,3404.0
445,262.0,4397.0,709.0,3487.0,2626.0,3386.0
