,emojitracker-twitter-disappointed_face,emojitracker-twitter-disappointed_but_relieved_face
782,65.0,15.0
783,50.0,17.0
784,55.0,21.0
785,50.0,15.0
786,50.0,22.0
787,52.0,20.0
788,49.0,19.0
789,53.0,21.0
790,48.0,27.0
791,43.0,21.0
792,55.0,17.0
793,36.0,32.0
794,35.0,22.0
795,45.0,16.0
796,51.0,21.0
797,49.0,19.0
798,44.0,21.0
799,37.0,25.0
800,44.0,22.0
801,70.0,30.0
802,52.0,13.0
803,68.0,13.0
804,48.0,18.0
805,41.0,24.0
806,47.0,26.0
807,42.0,27.0
808,45.0,18.0
809,55.0,9.0
810,34.0,19.0
811,46.0,23.0
812,59.0,22.0
813,47.0,15.0
814,56.0,19.0
815,52.0,24.0
816,61.0,25.0
817,48.0,20.0
818,51.0,15.0
819,39.0,18.0
820,48.0,14.0
821,45.0,21.0
822,41.0,21.0
823,52.0,18.0
824,45.0,17.0
825,49.0,20.0
826,52.0,20.0
827,56.0,17.0
828,56.0,17.0
829,43.0,13.0
830,44.0,13.0
831,43.0,18.0
832,51.0,19.0
833,63.0,16.0
834,53.0,22.0
835,56.0,21.0
836,42.0,19.0
837,55.0,24.0
838,47.0,21.0
839,44.0,19.0
840,42.0,25.0
841,55.0,19.0
842,31.0,14.0
843,45.0,18.0
844,50.0,22.0
845,49.0,18.0
846,53.0,16.0
847,53.0,17.0
848,49.0,20.0
849,58.0,23.0
850,49.0,23.0
851,35.0,23.0
852,48.0,23.0
853,48.0,13.0
854,50.0,31.0
855,46.0,14.0
856,38.0,19.0
857,41.0,17.0
858,63.0,28.0
859,62.0,25.0
860,48.0,29.0
861,47.0,23.0
862,46.0,15.0
863,43.0,21.0
864,51.0,21.0
865,49.0,18.0
866,49.0,20.0
867,61.0,14.0
868,48.0,12.0
869,51.0,26.0
870,54.0,12.0
871,46.0,18.0
872,46.0,23.0
873,38.0,24.0
874,43.0,22.0
875,43.0,19.0
876,48.0,23.0
877,45.0,28.0
878,58.0,31.0
879,31.0,27.0
880,43.0,17.0
881,44.0,18.0
882,44.0,29.0
883,53.0,27.0
884,54.0,37.0
885,51.0,28.0
886,47.0,41.0
887,50.0,28.0
888,47.0,26.0
889,56.0,25.0
890,54.0,18.0
891,53.0,26.0
892,62.0,11.0
893,42.0,19.0
894,50.0,30.0
895,56.0,28.0
896,51.0,22.0
897,42.0,21.0
898,44.0,22.0
899,45.0,24.0
900,51.0,22.0
901,42.0,22.0
902,58.0,21.0
903,53.0,23.0
904,56.0,16.0
905,46.0,24.0
906,60.0,21.0
907,48.0,20.0
908,54.0,24.0
909,37.0,21.0
910,55.0,18.0
911,48.0,21.0
912,63.0,26.0
913,46.0,24.0
914,49.0,16.0
915,51.0,25.0
916,48.0,27.0
917,53.0,27.0
918,46.0,23.0
919,44.0,23.0
920,43.0,29.0
921,45.0,23.0
922,60.0,33.0
923,64.0,13.0
924,53.0,21.0
925,54.0,18.0
926,53.0,15.0
927,54.0,24.0
928,48.0,20.0
929,57.0,17.0
930,36.0,23.0
931,58.0,18.0
932,43.0,17.0
933,54.0,15.0
934,51.0,17.0
935,57.0,21.0
936,58.0,30.0
937,54.0,28.0
938,46.0,21.0
939,48.0,19.0
940,58.0,22.0
941,43.0,22.0
942,50.0,21.0
943,47.0,21.0
944,56.0,24.0
945,46.0,23.0
946,61.0,26.0
947,46.0,17.0
948,40.0,14.0
949,57.0,24.0
950,56.0,20.0
951,52.0,26.0
952,37.0,32.0
953,58.0,17.0
954,44.0,18.0
955,53.0,17.0
956,49.0,21.0
957,48.0,22.0
958,45.0,13.0
959,49.0,22.0
960,42.0,13.0
961,49.0,20.0
962,58.0,17.0
963,46.0,20.0
964,65.0,18.0
965,58.0,19.0
966,61.0,19.0
967,50.0,18.0
968,45.0,22.0
969,35.0,30.0
970,57.0,25.0
971,56.0,23.0
972,61.0,22.0
973,54.0,18.0
974,41.0,22.0
975,57.0,28.0
976,62.0,22.0
977,54.0,27.0
978,58.0,22.0
979,40.0,20.0
980,59.0,25.0
981,59.0,20.0
982,63.0,17.0
983,39.0,22.0
984,66.0,24.0
985,54.0,22.0
986,49.0,25.0
987,57.0,25.0
988,44.0,23.0
989,38.0,21.0
990,41.0,34.0
991,63.0,22.0
992,47.0,21.0
993,56.0,23.0
994,65.0,20.0
995,48.0,19.0
996,55.0,24.0
997,50.0,23.0
998,53.0,21.0
999,56.0,11.0
