,hospital-er-wait-minutes-columbus_midtown,hospital-er-wait-minutes-columbus_northside,hospital-er-wait-minutes-columbus_midtown_peds
899,233.0,7.0,34.0
900,233.0,7.0,34.0
901,234.0,4.0,11.0
902,234.0,4.0,11.0
903,155.0,6.0,13.0
904,155.0,6.0,13.0
905,135.0,5.0,12.0
906,135.0,5.0,12.0
907,151.0,4.0,10.0
908,151.0,4.0,10.0
909,171.0,4.0,8.0
910,171.0,4.0,8.0
911,200.0,3.0,8.0
912,200.0,3.0,8.0
913,222.0,0.0,7.0
914,222.0,0.0,7.0
915,217.0,0.0,4.0
916,217.0,0.0,4.0
917,225.0,0.0,5.0
918,225.0,0.0,5.0
919,240.0,5.0,5.0
920,240.0,5.0,5.0
921,234.0,5.0,0.0
922,234.0,5.0,0.0
923,275.0,0.0,0.0
924,275.0,0.0,0.0
925,277.0,0.0,4.0
926,277.0,0.0,4.0
927,282.0,2.0,4.0
928,282.0,2.0,4.0
929,211.0,2.0,7.0
930,211.0,2.0,7.0
931,191.0,1.0,5.0
932,191.0,1.0,5.0
933,186.0,1.0,4.0
934,186.0,1.0,4.0
935,216.0,2.0,1.0
936,216.0,2.0,1.0
937,282.0,4.0,1.0
938,282.0,4.0,1.0
939,146.0,26.0,0.0
940,146.0,26.0,0.0
941,190.0,26.0,3.0
942,190.0,26.0,3.0
943,1837.0,0.0,4.0
944,1837.0,0.0,4.0
945,2123.0,7.0,17.0
946,2123.0,7.0,17.0
947,3397.0,9.0,21.0
948,3397.0,9.0,21.0
949,2564.0,17.0,19.0
950,2564.0,17.0,19.0
951,1151.0,31.0,13.0
952,1151.0,31.0,13.0
953,1154.0,34.0,11.0
954,1154.0,34.0,11.0
955,1485.0,31.0,13.0
956,1485.0,31.0,13.0
957,1165.0,26.0,13.0
958,1165.0,26.0,13.0
959,882.0,23.0,30.0
960,882.0,23.0,30.0
961,1056.0,33.0,20.0
962,1056.0,33.0,20.0
963,968.0,47.0,17.0
964,968.0,47.0,17.0
965,898.0,51.0,12.0
966,898.0,51.0,12.0
967,902.0,41.0,11.0
968,902.0,41.0,11.0
969,1082.0,37.0,0.0
970,1082.0,37.0,0.0
971,1081.0,43.0,0.0
972,1081.0,43.0,0.0
973,910.0,45.0,0.0
