,electricity-fueltype-nyiso-other_renewables,electricity-fueltype-nyiso-natural_gas,electricity-fueltype-nyiso-wind,electricity-fueltype-nyiso-other_fossil_fuels,electricity-fueltype-nyiso-hydro,electricity-fueltype-nyiso-dual_fuel,electricity-fueltype-nyiso-nuclear
347,260.0,5860.0,106.0,548.0,3370.0,9263.0,3276.0
348,259.0,5862.0,105.0,526.0,3376.0,9225.0,3276.0
349,260.0,5906.0,93.0,513.0,3432.0,9217.0,3276.0
350,259.0,5952.0,98.0,512.0,3473.0,9241.0,3277.0
351,261.0,5987.0,102.0,510.0,3492.0,9261.0,3276.0
352,260.0,5989.0,92.0,509.0,3466.0,9282.0,3275.0
353,262.0,5994.0,85.0,510.0,3499.0,9305.0,3277.0
354,262.0,6000.0,85.0,509.0,3502.0,9322.0,3276.0
355,259.0,6004.0,88.0,507.0,3477.0,9306.0,3276.0
356,259.0,6007.0,89.0,506.0,3501.0,9338.0,3277.0
357,255.0,6017.0,87.0,509.0,3543.0,9383.0,3277.0
358,252.0,6025.0,88.0,509.0,3644.0,9404.0,3276.0
359,250.0,6003.0,81.0,503.0,3757.0,9423.0,3278.0
360,251.0,6001.0,73.0,501.0,3861.0,9408.0,3278.0
361,252.0,6004.0,76.0,506.0,3821.0,9414.0,3278.0
362,249.0,6034.0,74.0,506.0,3755.0,9440.0,3278.0
363,248.0,6057.0,75.0,506.0,3767.0,9483.0,3278.0
364,248.0,6028.0,70.0,506.0,3821.0,9499.0,3279.0
365,249.0,5993.0,69.0,506.0,3905.0,9560.0,3280.0
366,249.0,5985.0,64.0,506.0,4016.0,9554.0,3279.0
367,249.0,5976.0,71.0,510.0,4057.0,9539.0,3283.0
368,246.0,5965.0,71.0,533.0,4032.0,9561.0,3282.0
369,247.0,5935.0,70.0,551.0,4051.0,9520.0,3280.0
370,247.0,5842.0,75.0,564.0,4046.0,9498.0,3282.0
371,244.0,5770.0,70.0,593.0,3794.0,9833.0,3282.0
372,245.0,5863.0,66.0,595.0,3682.0,9875.0,3284.0
373,247.0,5905.0,60.0,604.0,3651.0,9894.0,3283.0
374,247.0,5877.0,57.0,641.0,3621.0,9926.0,3283.0
375,246.0,5886.0,53.0,653.0,3590.0,9991.0,3285.0
376,245.0,5748.0,55.0,688.0,3629.0,10074.0,3285.0
377,248.0,5830.0,64.0,754.0,3700.0,10133.0,3287.0
378,249.0,5870.0,68.0,804.0,3759.0,10140.0,3289.0
379,247.0,5895.0,72.0,889.0,3665.0,10147.0,3285.0
380,246.0,5899.0,72.0,891.0,3801.0,9731.0,3285.0
381,239.0,6015.0,80.0,811.0,3870.0,9686.0,3285.0
382,234.0,6040.0,72.0,725.0,3760.0,9799.0,3285.0
383,234.0,5934.0,59.0,687.0,3610.0,9682.0,3287.0
