,emojitracker-twitter-smiling_face_with_smiling_eyes,emojitracker-twitter-smiling_face_with_open_mouth_and_tightly-closed_eyes,emojitracker-twitter-smiling_face_with_heart-shaped_eyes,emojitracker-twitter-smiling_face_with_open_mouth_and_smiling_eyes
520,136.0,52.0,317.0,50.0
521,146.0,67.0,322.0,40.0
522,166.0,51.0,295.0,47.0
523,145.0,51.0,252.0,44.0
524,137.0,59.0,318.0,45.0
525,187.0,66.0,292.0,34.0
526,148.0,71.0,326.0,42.0
527,158.0,57.0,325.0,61.0
528,153.0,41.0,288.0,61.0
529,142.0,65.0,281.0,44.0
530,143.0,73.0,322.0,50.0
531,147.0,53.0,320.0,56.0
532,131.0,67.0,287.0,47.0
533,137.0,54.0,282.0,41.0
534,150.0,60.0,292.0,50.0
535,140.0,64.0,299.0,49.0
536,136.0,58.0,274.0,44.0
537,152.0,69.0,290.0,46.0
538,160.0,76.0,281.0,52.0
539,136.0,56.0,291.0,50.0
540,156.0,60.0,288.0,53.0
541,145.0,62.0,307.0,49.0
542,147.0,68.0,288.0,36.0
543,149.0,66.0,306.0,62.0
544,149.0,55.0,307.0,50.0
545,168.0,58.0,299.0,47.0
546,143.0,62.0,279.0,35.0
547,144.0,45.0,298.0,44.0
548,132.0,61.0,280.0,58.0
549,138.0,73.0,296.0,51.0
550,155.0,62.0,317.0,53.0
551,154.0,62.0,307.0,53.0
552,134.0,59.0,278.0,57.0
553,160.0,51.0,274.0,44.0
554,153.0,57.0,276.0,47.0
555,143.0,56.0,289.0,52.0
556,151.0,61.0,291.0,54.0
557,137.0,64.0,299.0,41.0
558,127.0,70.0,298.0,43.0
559,127.0,64.0,291.0,47.0
560,155.0,47.0,281.0,35.0
561,153.0,50.0,282.0,33.0
562,132.0,60.0,323.0,45.0
563,161.0,60.0,325.0,37.0
564,147.0,69.0,322.0,41.0
565,144.0,61.0,283.0,43.0
566,146.0,59.0,301.0,39.0
567,135.0,64.0,298.0,53.0
568,156.0,64.0,282.0,55.0
569,140.0,55.0,281.0,50.0
570,148.0,55.0,281.0,41.0
571,143.0,59.0,296.0,59.0
572,135.0,45.0,278.0,44.0
573,130.0,47.0,296.0,47.0
574,155.0,66.0,295.0,58.0
575,170.0,62.0,335.0,43.0
576,141.0,40.0,326.0,55.0
577,124.0,38.0,314.0,43.0
578,124.0,52.0,319.0,37.0
579,139.0,42.0,327.0,41.0
580,130.0,63.0,295.0,50.0
581,150.0,54.0,318.0,42.0
582,152.0,55.0,311.0,48.0
583,136.0,60.0,301.0,55.0
584,134.0,79.0,303.0,46.0
585,145.0,58.0,275.0,43.0
586,158.0,64.0,301.0,41.0
587,122.0,71.0,280.0,47.0
588,147.0,58.0,295.0,55.0
589,139.0,58.0,305.0,40.0
590,137.0,61.0,272.0,37.0
591,136.0,52.0,283.0,56.0
592,132.0,52.0,300.0,32.0
593,136.0,62.0,303.0,52.0
594,155.0,60.0,307.0,52.0
595,113.0,70.0,308.0,38.0
596,139.0,58.0,312.0,49.0
597,136.0,60.0,314.0,43.0
598,122.0,54.0,283.0,39.0
599,131.0,61.0,302.0,46.0
600,133.0,56.0,294.0,47.0
601,152.0,49.0,265.0,37.0
602,141.0,49.0,285.0,43.0
603,116.0,55.0,284.0,34.0
604,132.0,51.0,297.0,52.0
605,157.0,64.0,297.0,45.0
606,135.0,48.0,280.0,51.0
607,154.0,49.0,278.0,41.0
