,hospital-er-wait-minutes-columbus_midtown,hospital-er-wait-minutes-columbus_northside,hospital-er-wait-minutes-columbus_midtown_peds
540,41.0,20.0,2.0
541,42.0,20.0,2.0
542,42.0,20.0,2.0
543,42.0,20.0,2.0
544,42.0,20.0,6.0
545,42.0,20.0,6.0
546,42.0,10.0,6.0
547,44.0,10.0,6.0
548,44.0,10.0,6.0
549,44.0,10.0,6.0
550,44.0,10.0,10.0
551,44.0,10.0,10.0
552,44.0,6.0,10.0
553,40.0,6.0,10.0
554,40.0,6.0,10.0
555,40.0,6.0,10.0
556,40.0,6.0,10.0
557,40.0,6.0,10.0
558,40.0,2.0,10.0
559,39.0,2.0,10.0
560,39.0,2.0,10.0
561,39.0,2.0,10.0
562,39.0,2.0,0.0
563,39.0,2.0,0.0
564,39.0,0.0,0.0
565,15.0,0.0,0.0
566,15.0,0.0,0.0
567,15.0,0.0,0.0
568,15.0,0.0,3.0
569,15.0,0.0,3.0
570,15.0,0.0,3.0
571,22.0,0.0,3.0
572,22.0,0.0,3.0
573,22.0,0.0,3.0
574,22.0,0.0,3.0
575,22.0,0.0,3.0
576,22.0,1.0,3.0
577,20.0,1.0,3.0
578,20.0,1.0,3.0
579,20.0,1.0,3.0
580,20.0,1.0,0.0
581,20.0,1.0,0.0
582,20.0,6.0,0.0
583,29.0,6.0,0.0
584,29.0,6.0,0.0
585,29.0,6.0,0.0
586,29.0,6.0,5.0
587,29.0,6.0,5.0
588,45.0,8.0,5.0
589,45.0,8.0,5.0
590,45.0,8.0,5.0
591,45.0,8.0,5.0
592,45.0,8.0,5.0
593,45.0,7.0,5.0
594,48.0,7.0,5.0
595,48.0,7.0,5.0
596,48.0,7.0,5.0
597,48.0,7.0,7.0
598,48.0,7.0,7.0
599,48.0,1.0,7.0
600,50.0,1.0,7.0
601,50.0,1.0,7.0
602,50.0,1.0,7.0
603,50.0,1.0,9.0
604,50.0,1.0,9.0
605,50.0,3.0,9.0
606,74.0,3.0,9.0
607,74.0,3.0,9.0
608,74.0,3.0,9.0
