,pandemic_infected,pandemic_recovered,pandemic_susceptible
500,0.039869999999999996,0.22214,0.646745
501,0.03774625,0.23089,0.64124125
502,0.03560375,0.23944125,0.63607125
503,0.03365875,0.24769125,0.6311399999999999
504,0.03190625,0.25558000000000003,0.6264850000000001
505,0.03007125,0.26338249999999996,0.622115
506,0.02842625,0.2711225,0.617905
507,0.0267375,0.27845625,0.61401625
508,0.02528125,0.28558375,0.610325
509,0.02393375,0.29249250000000004,0.60680625
510,0.02257625,0.29893875,0.6036625
511,0.021125,0.30522875,0.600805
512,0.01984125,0.311215,0.59794875
513,0.0187075,0.31707875,0.5953
514,0.0176825,0.3226375,0.59290125
515,0.016485,0.32817375,0.59067375
516,0.015307499999999998,0.333275,0.58862875
517,0.01436375,0.33818375,0.58663125
518,0.01337625,0.342905,0.58476625
519,0.01241875,0.34741750000000005,0.58314625
520,0.0116125,0.3518375,0.58155875
521,0.0107475,0.3559775,0.5801375
522,0.009965,0.360075,0.5788125
523,0.0093075,0.3638775,0.5775899999999999
524,0.0087175,0.36737375,0.5764699999999999
525,0.0081025,0.370765,0.5754425
526,0.00741625,0.37405125,0.57453625
527,0.0068575,0.37719250000000004,0.57366625
528,0.00638625,0.38010875,0.57281375
529,0.00594375,0.3828,0.57208
530,0.005435,0.385475,0.5714175
531,0.0050275,0.38797875,0.5707575
532,0.0046375,0.390445,0.57015375
533,0.00428375,0.39272375,0.56960375
534,0.00399875,0.394825,0.5690475
535,0.00372,0.39675375,0.56859625
536,0.00343375,0.39873125,0.56818375
537,0.0031,0.40054,0.567865
538,0.00285,0.4021475,0.5674925000000001
539,0.00266375,0.40373375,0.56715
540,0.0024475,0.40527625,0.5668325
541,0.00230375,0.40672125,0.56653
542,0.00209625,0.40815,0.56627375
543,0.00191125,0.40946,0.56600625
544,0.00180125,0.41069875,0.56576
545,0.0016524999999999999,0.41186625,0.56558
546,0.0014875,0.41300625,0.56542625
547,0.00137875,0.41405375,0.56526
548,0.0012575,0.41502125,0.56509625
549,0.0011474999999999999,0.41592250000000003,0.564945
550,0.00105125,0.41678625,0.56480875
551,0.000985,0.41756125,0.56468125
552,0.0009025,0.41830625,0.56455125
553,0.00085125,0.4189675,0.56443875
554,0.00078875,0.41968,0.56434125
555,0.00072625,0.4203125,0.5642625
556,0.0006375,0.42093125,0.5641925
557,0.0005725,0.42147625,0.56412125
558,0.00052125,0.4220225,0.56406875
559,0.00049625,0.422515,0.5640025
560,0.00043625,0.42297125,0.5639575
561,0.00039375,0.423465,0.56391
562,0.00037375,0.42389499999999997,0.56385125
563,0.00033625,0.42422625,0.5638075
564,0.00031,0.42459375,0.56377375
565,0.00027749999999999997,0.42491999999999996,0.56374625
566,0.00027749999999999997,0.4252375,0.563705
567,0.0002625,0.42552375,0.56366625
568,0.00023999999999999998,0.425785,0.5636475000000001
569,0.00022,0.42604,0.56361875
570,0.00020375,0.42630625,0.5635899999999999
571,0.00018125,0.42651375,0.56356375
572,0.00016625,0.42672125,0.5635475000000001
573,0.00014875,0.42693875,0.56353125
574,0.00013875,0.42712375,0.5635175
575,0.00012625,0.42727625,0.56350875
576,0.00011499999999999999,0.42742875,0.56349375
577,0.00010875,0.42759250000000004,0.56347625
578,0.00010375,0.42775749999999996,0.56346375
579,0.0001,0.42789499999999997,0.56345125
580,9.375e-05,0.4280125,0.56344375
