,emojitracker-twitter-disappointed_but_relieved_face,emojitracker-twitter-disappointed_face
802,17.0,68.0
803,15.0,44.0
804,24.0,47.0
805,17.0,55.0
806,15.0,35.0
807,27.0,50.0
808,19.0,56.0
809,20.0,54.0
810,19.0,48.0
811,24.0,47.0
812,23.0,46.0
813,19.0,42.0
814,14.0,45.0
815,13.0,39.0
816,14.0,47.0
817,14.0,43.0
818,19.0,46.0
819,17.0,37.0
820,15.0,55.0
821,26.0,52.0
822,20.0,37.0
823,24.0,52.0
824,17.0,43.0
825,14.0,44.0
826,21.0,44.0
827,16.0,54.0
828,24.0,43.0
829,16.0,48.0
830,21.0,52.0
831,10.0,44.0
832,21.0,55.0
833,16.0,46.0
834,25.0,41.0
835,15.0,47.0
836,25.0,56.0
837,21.0,45.0
838,14.0,44.0
839,14.0,53.0
840,20.0,44.0
841,14.0,47.0
842,16.0,64.0
843,20.0,48.0
844,32.0,50.0
845,14.0,45.0
846,17.0,45.0
847,18.0,44.0
848,17.0,44.0
849,18.0,46.0
850,15.0,44.0
851,23.0,49.0
852,14.0,44.0
853,17.0,54.0
854,30.0,40.0
855,18.0,47.0
856,13.0,38.0
857,21.0,51.0
858,23.0,50.0
859,21.0,36.0
860,26.0,40.0
861,20.0,38.0
862,20.0,56.0
863,25.0,41.0
864,20.0,45.0
865,18.0,44.0
866,21.0,58.0
867,19.0,38.0
868,22.0,41.0
869,19.0,45.0
870,22.0,49.0
871,23.0,43.0
872,17.0,55.0
873,19.0,40.0
874,15.0,46.0
875,24.0,40.0
876,22.0,45.0
877,19.0,54.0
878,17.0,46.0
879,23.0,45.0
880,8.0,48.0
881,18.0,55.0
882,24.0,43.0
883,19.0,56.0
884,21.0,51.0
885,25.0,50.0
886,22.0,39.0
887,19.0,32.0
888,21.0,53.0
889,11.0,46.0
890,31.0,55.0
891,22.0,51.0
892,21.0,38.0
893,19.0,46.0
894,19.0,42.0
895,16.0,64.0
896,17.0,40.0
897,12.0,43.0
898,20.0,58.0
899,16.0,52.0
900,12.0,59.0
901,24.0,42.0
902,18.0,41.0
903,22.0,41.0
904,13.0,41.0
905,16.0,39.0
906,16.0,48.0
907,15.0,53.0
908,15.0,52.0
909,20.0,49.0
910,16.0,41.0
911,20.0,39.0
912,22.0,51.0
913,13.0,48.0
914,16.0,47.0
915,27.0,55.0
916,21.0,72.0
917,23.0,52.0
918,25.0,44.0
919,19.0,51.0
920,27.0,49.0
921,20.0,39.0
922,24.0,34.0
923,23.0,49.0
924,20.0,44.0
925,12.0,61.0
926,22.0,43.0
927,22.0,41.0
928,20.0,53.0
929,19.0,55.0
930,21.0,58.0
931,21.0,54.0
932,16.0,49.0
933,14.0,46.0
934,18.0,54.0
935,27.0,65.0
936,19.0,58.0
937,15.0,43.0
938,28.0,54.0
939,26.0,50.0
940,22.0,59.0
941,23.0,46.0
942,32.0,46.0
943,27.0,48.0
944,22.0,44.0
945,19.0,58.0
946,22.0,67.0
947,24.0,46.0
948,26.0,44.0
949,26.0,56.0
950,28.0,48.0
951,21.0,42.0
952,20.0,44.0
953,19.0,45.0
954,17.0,51.0
955,32.0,52.0
956,19.0,47.0
957,16.0,47.0
958,15.0,47.0
959,24.0,50.0
960,18.0,57.0
961,19.0,62.0
962,13.0,45.0
963,13.0,47.0
964,27.0,41.0
965,32.0,45.0
966,18.0,69.0
967,21.0,45.0
968,22.0,51.0
969,25.0,51.0
970,24.0,63.0
971,17.0,53.0
972,15.0,61.0
973,18.0,67.0
974,28.0,57.0
975,19.0,62.0
976,19.0,56.0
977,17.0,62.0
978,14.0,55.0
979,29.0,52.0
980,17.0,45.0
981,16.0,48.0
982,22.0,54.0
983,22.0,41.0
984,21.0,43.0
985,30.0,47.0
986,23.0,46.0
987,23.0,52.0
988,18.0,51.0
989,17.0,50.0
990,34.0,51.0
991,26.0,51.0
992,23.0,43.0
993,25.0,65.0
994,20.0,53.0
995,23.0,56.0
996,23.0,60.0
997,18.0,51.0
998,28.0,53.0
999,31.0,46.0
